class	prop	rdf	-*- tab-width: 32 -*-
OrganizationCommon	language	schema:availableLanguage
OrganizationCommon	legalForm	rov:orgType
OrganizationCommon	legalFormText	ebg:orgTypeText
OrganizationCommon	legalName	rov:legalName
OrganizationCommon	modified	dct:modified
OrganizationCommon	orgType	cg:orgType
OrganizationCommon	orgTypeOther	cg:orgTypeOther
OrganizationCommon	prefLabel	skos:prefLabel
OrganizationCommon	source	dct:source
OrganizationCommon	status	rov:orgStatus
OrganizationCommon	statusText	ebg:orgStatusText
OrganizationRelation	address	cg:address
OrganizationRelation	agent	cg:agent
OrganizationRelation	agentMajor	cg:agentMajor
OrganizationRelation	agentMinor	cg:agentMinor
OrganizationRelation	country	cg:country
OrganizationRelation	created	dct:created
OrganizationRelation	date	cg:date
OrganizationRelation	dateEnd	cg:dateEnd
OrganizationRelation	description	dct:description
OrganizationRelation	descriptionLong	cg:descriptionLong
OrganizationRelation	ident	skos:notation
OrganizationRelation	identifier	adms:identifier
OrganizationRelation	isCluster	cg:isCluster
OrganizationRelation	isCurrent	cg:isCurrent
OrganizationRelation	language	schema:availableLanguage
OrganizationRelation	modified	dct:modified
OrganizationRelation	proportion	cg:proportion
OrganizationRelation	relationType	cg:relationType
OrganizationRelation	source	dct:source
OrganizationStatus	address	cg:address
OrganizationStatus	altLabel	skos:altLabel
OrganizationStatus	broader	skos:broader
OrganizationStatus	country	cg:country
OrganizationStatus	created	dct:created
OrganizationStatus	description	skos:description
OrganizationStatus	descriptionLong	cg:descriptionLong
OrganizationStatus	ident	skos:notation
OrganizationStatus	identifier	adms:identifier
OrganizationStatus	inScheme	skos:inScheme
OrganizationStatus	isCluster	cg:isCluster
OrganizationStatus	language	schema:availableLanguage
OrganizationStatus	modified	dct:modified
OrganizationStatus	order	cg:order
OrganizationStatus	prefLabel	skos:prefLabel
OrganizationStatus	source	dct:source
OrganizationType	address	cg:address
OrganizationType	altLabel	skos:altLabel
OrganizationType	broader	skos:broader
OrganizationType	country	cg:country
OrganizationType	created	dct:created
OrganizationType	description	skos:description
OrganizationType	descriptionLong	cg:descriptionLong
OrganizationType	ident	skos:notation
OrganizationType	identifier	adms:identifier
OrganizationType	inScheme	skos:inScheme
OrganizationType	isCluster	cg:isCluster
OrganizationType	language	schema:availableLanguage
OrganizationType	modified	dct:modified
OrganizationType	order	cg:order
OrganizationType	prefLabel	skos:prefLabel
OrganizationType	source	dct:source
Person	address	cg:address
Person	birthDate	schema:birthDate
Person	country	cg:country
Person	created	dct:created
Person	deathDate	schema:deathDate
Person	description	dct:description
Person	descriptionLong	cg:descriptionLong
Person	familyName	schema:familyName
Person	gender	schema:gender
Person	genderText	cg:genderText
Person	givenName	schema:givenName
Person	ident	skos:notation
Person	identifier	adms:identifier
Person	isCluster	cg:isCluster
Person	language	schema:availableLanguage
Person	modified	dct:modified
Person	prefLabel	skos:prefLabel
Person	source	dct:source
PersonCommon	address	cg:address
PersonCommon	birthDate	schema:birthDate
PersonCommon	country	cg:country
PersonCommon	created	dct:created
PersonCommon	deathDate	schema:deathDate
PersonCommon	description	dct:description
PersonCommon	descriptionLong	cg:descriptionLong
PersonCommon	familyName	schema:familyName
PersonCommon	gender	schema:gender
PersonCommon	genderText	cg:genderText
PersonCommon	givenName	schema:givenName
PersonCommon	ident	skos:notation
PersonCommon	identifier	adms:identifier
PersonCommon	isCluster	cg:isCluster
PersonCommon	language	schema:availableLanguage
PersonCommon	modified	dct:modified
PersonCommon	prefLabel	skos:prefLabel
PersonCommon	source	dct:source
Position	address	cg:address
Position	country	cg:country
Position	created	dct:created
Position	dateEnd	time:hasEnd
Position	dateStart	time:hasBeginning
Position	description	dct:description
Position	descriptionLong	cg:descriptionLong
Position	ident	skos:notation
Position	identifier	adms:identifier
Position	isCluster	cg:isCluster
Position	isCurrent	cg:isCurrent
Position	isPrimary	cg:isPrimary
Position	language	schema:availableLanguage
Position	modified	dct:modified
Position	organization	org:organization
Position	person	org:member
Position	positionText	dct:description
Position	positionType	org:role
Position	source	dct:source
PositionType	address	cg:address
PositionType	altLabel	skos:altLabel
PositionType	broader	skos:broader
PositionType	country	cg:country
PositionType	created	dct:created
PositionType	description	skos:description
PositionType	descriptionLong	cg:descriptionLong
PositionType	ident	skos:notation
PositionType	identifier	adms:identifier
PositionType	inScheme	skos:inScheme
PositionType	isCluster	cg:isCluster
PositionType	language	schema:availableLanguage
PositionType	modified	dct:modified
PositionType	order	cg:order
PositionType	prefLabel	skos:prefLabel
PositionType	source	dct:source
Region	altName	gn:alternateName
Region	ancestorPlace	gn:parentFeature
Region	countryCode	gn:countryCode
Region	featureClass	gn:featureClass
Region	featureCode	gn:featureCode
Region	gn:name	gn:name
Region	lat	wgs84:lat
Region	long	wgs84:long
Region	parentCountry	gn:parentCountry
Region	parentRegion	gn:parentADM1
Region	population	gn:population
RelationType	address	cg:address
RelationType	altLabel	skos:altLabel
RelationType	broader	skos:broader
RelationType	country	cg:country
RelationType	created	dct:created
RelationType	description	skos:description
RelationType	descriptionLong	cg:descriptionLong
RelationType	hasInverse	cg:hasInverse
RelationType	ident	skos:notation
RelationType	identifier	adms:identifier
RelationType	inScheme	skos:inScheme
RelationType	invLabel	cg:invLabel
RelationType	isCluster	cg:isCluster
RelationType	isSymmetric	cg:isSymmetric
RelationType	language	schema:availableLanguage
RelationType	modified	dct:modified
RelationType	order	cg:order
